lap,position,seconds,nationality,drivername,name,time_gap
21,4,76.43,French,Pierre Gasly,Dutch Grand Prix,17053.0
22,4,76.47,French,Pierre Gasly,Dutch Grand Prix,18817.0
23,4,76.652,French,Pierre Gasly,Dutch Grand Prix,6403.0
24,5,79.651,French,Pierre Gasly,Dutch Grand Prix,21196.0
25,7,93.194,French,Pierre Gasly,Dutch Grand Prix,18776.0
26,7,75.153,French,Pierre Gasly,Dutch Grand Prix,5540.0
27,7,76.285,French,Pierre Gasly,Dutch Grand Prix,6049.0
28,6,75.45,French,Pierre Gasly,Dutch Grand Prix,20189.0
29,6,76.042,French,Pierre Gasly,Dutch Grand Prix,2608.0
30,6,75.911,French,Pierre Gasly,Dutch Grand Prix,9775.0
31,6,76.114,French,Pierre Gasly,Dutch Grand Prix,26792.0
32,5,75.833,French,Pierre Gasly,Dutch Grand Prix,20936.0
33,5,75.871,French,Pierre Gasly,Dutch Grand Prix,6748.0
34,5,76.32,French,Pierre Gasly,Dutch Grand Prix,22496.0
35,4,76.16,French,Pierre Gasly,Dutch Grand Prix,20638.0
36,4,76.059,French,Pierre Gasly,Dutch Grand Prix,10396.0
37,4,75.903,French,Pierre Gasly,Dutch Grand Prix,5415.0
38,4,75.729,French,Pierre Gasly,Dutch Grand Prix,5416.0
39,4,75.863,French,Pierre Gasly,Dutch Grand Prix,5836.0
40,4,75.535,French,Pierre Gasly,Dutch Grand Prix,16938.0
41,4,75.622,French,Pierre Gasly,Dutch Grand Prix,23057.0
42,4,75.548,French,Pierre Gasly,Dutch Grand Prix,6105.0
43,4,75.477,French,Pierre Gasly,Dutch Grand Prix,21770.0
44,4,75.269,French,Pierre Gasly,Dutch Grand Prix,5833.0
45,4,75.54,French,Pierre Gasly,Dutch Grand Prix,19568.0
46,4,75.375,French,Pierre Gasly,Dutch Grand Prix,4008.0
47,4,75.259,French,Pierre Gasly,Dutch Grand Prix,5864.0
48,4,75.295,French,Pierre Gasly,Dutch Grand Prix,19267.0
49,4,75.454,French,Pierre Gasly,Dutch Grand Prix,5521.0
50,4,75.974,French,Pierre Gasly,Dutch Grand Prix,4776.0
51,4,75.989,French,Pierre Gasly,Dutch Grand Prix,4592.0
52,4,75.399,French,Pierre Gasly,Dutch Grand Prix,4715.0
53,4,75.483,French,Pierre Gasly,Dutch Grand Prix,5312.0
54,4,75.105,French,Pierre Gasly,Dutch Grand Prix,4633.0
55,4,75.314,French,Pierre Gasly,Dutch Grand Prix,3405.0
56,4,74.916,French,Pierre Gasly,Dutch Grand Prix,4243.0
57,4,74.818,French,Pierre Gasly,Dutch Grand Prix,7007.0
58,4,74.882,French,Pierre Gasly,Dutch Grand Prix,4540.0
59,4,75.082,French,Pierre Gasly,Dutch Grand Prix,4616.0
60,4,74.866,French,Pierre Gasly,Dutch Grand Prix,11889.0
61,4,74.868,French,Pierre Gasly,Dutch Grand Prix,8204.0
62,4,74.859,French,Pierre Gasly,Dutch Grand Prix,5468.0
63,4,75.191,French,Pierre Gasly,Dutch Grand Prix,3882.0
64,4,75.131,French,Pierre Gasly,Dutch Grand Prix,4356.0
65,4,75.43,French,Pierre Gasly,Dutch Grand Prix,4257.0
66,4,76.185,French,Pierre Gasly,Dutch Grand Prix,8417.0
67,4,78.037,French,Pierre Gasly,Dutch Grand Prix,6883.0
68,4,77.262,French,Pierre Gasly,Dutch Grand Prix,21613.0
69,4,76.135,French,Pierre Gasly,Dutch Grand Prix,51838.0
70,4,75.563,French,Pierre Gasly,Dutch Grand Prix,6327.0
71,4,76.153,French,Pierre Gasly,Dutch Grand Prix,18679.0
1,5,82.599,Monegasque,Charles Leclerc,Dutch Grand Prix,19594.0
2,5,77.903,Monegasque,Charles Leclerc,Dutch Grand Prix,5314.0
3,5,77.062,Monegasque,Charles Leclerc,Dutch Grand Prix,5712.0
4,5,76.978,Monegasque,Charles Leclerc,Dutch Grand Prix,10462.0
5,5,76.581,Monegasque,Charles Leclerc,Dutch Grand Prix,37915.0
6,5,76.597,Monegasque,Charles Leclerc,Dutch Grand Prix,4462.0
7,5,76.596,Monegasque,Charles Leclerc,Dutch Grand Prix,5659.0
8,5,76.565,Monegasque,Charles Leclerc,Dutch Grand Prix,6463.0
9,5,76.327,Monegasque,Charles Leclerc,Dutch Grand Prix,18749.0
10,5,76.71,Monegasque,Charles Leclerc,Dutch Grand Prix,7195.0
11,5,76.196,Monegasque,Charles Leclerc,Dutch Grand Prix,19177.0
12,5,76.33,Monegasque,Charles Leclerc,Dutch Grand Prix,3635.0
13,5,76.318,Monegasque,Charles Leclerc,Dutch Grand Prix,4878.0
14,5,76.273,Monegasque,Charles Leclerc,Dutch Grand Prix,5709.0
15,5,76.547,Monegasque,Charles Leclerc,Dutch Grand Prix,3986.0
16,5,76.276,Monegasque,Charles Leclerc,Dutch Grand Prix,5421.0
17,5,76.416,Monegasque,Charles Leclerc,Dutch Grand Prix,3059.0
18,5,76.331,Monegasque,Charles Leclerc,Dutch Grand Prix,3055.0
