raceId,lap,leaderGap,driverId,drivername
1064,36,1.273,817,Daniel Ricciardo
1064,37,2.435,817,Daniel Ricciardo
1064,38,3.88,817,Daniel Ricciardo
1064,39,4.364,817,Daniel Ricciardo
1064,40,1.334,817,Daniel Ricciardo
1064,41,4.815,817,Daniel Ricciardo
1064,42,3.393,817,Daniel Ricciardo
1064,43,2.194,817,Daniel Ricciardo
1064,44,1.518,817,Daniel Ricciardo
1064,45,2.345,817,Daniel Ricciardo
1064,46,2.139,817,Daniel Ricciardo
1064,47,1.723,817,Daniel Ricciardo
1064,48,1.805,817,Daniel Ricciardo
1064,49,2.201,817,Daniel Ricciardo
1064,50,1.863,817,Daniel Ricciardo
1064,51,1.788,817,Daniel Ricciardo
1064,52,1.722,817,Daniel Ricciardo
1064,53,2.063,817,Daniel Ricciardo
1064,54,2.993,817,Daniel Ricciardo
1064,55,1.53,817,Daniel Ricciardo
1064,56,1.53,817,Daniel Ricciardo
1064,57,1.502,817,Daniel Ricciardo
1064,58,1.623,817,Daniel Ricciardo
1064,59,1.459,817,Daniel Ricciardo
1064,60,1.736,817,Daniel Ricciardo
1064,61,1.856,817,Daniel Ricciardo
1064,62,1.722,817,Daniel Ricciardo
1064,63,1.527,817,Daniel Ricciardo
1064,64,1.472,817,Daniel Ricciardo
1064,65,1.878,817,Daniel Ricciardo
1064,66,2.194,817,Daniel Ricciardo
1064,67,2.933,817,Daniel Ricciardo
1064,68,3.077,817,Daniel Ricciardo
1064,69,3.375,817,Daniel Ricciardo
1064,70,2.403,817,Daniel Ricciardo
1064,71,2.419,817,Daniel Ricciardo
1064,72,,817,Daniel Ricciardo
1064,1,2.722,822,Valtteri Bottas
1064,2,0.883,822,Valtteri Bottas
1064,3,0.886,822,Valtteri Bottas
1064,4,0.327,822,Valtteri Bottas
1064,5,0.287,822,Valtteri Bottas
1064,6,0.63,822,Valtteri Bottas
1064,7,0.527,822,Valtteri Bottas
1064,8,0.099,822,Valtteri Bottas
1064,9,1.005,822,Valtteri Bottas
1064,10,1.06,822,Valtteri Bottas
1064,11,0.957,822,Valtteri Bottas
1064,12,0.594,822,Valtteri Bottas
1064,13,0.447,822,Valtteri Bottas
1064,14,0.417,822,Valtteri Bottas
1064,15,0.428,822,Valtteri Bottas
1064,16,0.545,822,Valtteri Bottas
1064,17,0.277,822,Valtteri Bottas
1064,18,0.168,822,Valtteri Bottas
1064,19,0.105,822,Valtteri Bottas
1064,20,0.195,822,Valtteri Bottas
1064,21,0.0,822,Valtteri Bottas
1064,22,1.836,822,Valtteri Bottas
1064,23,1.735,822,Valtteri Bottas
1064,24,2.248,822,Valtteri Bottas
1064,25,1.721,822,Valtteri Bottas
1064,26,0.893,822,Valtteri Bottas
1064,27,1.115,822,Valtteri Bottas
1064,28,1.389,822,Valtteri Bottas
1064,29,0.821,822,Valtteri Bottas
1064,30,2.448,822,Valtteri Bottas
1064,31,7.163,822,Valtteri Bottas
1064,32,17.901,822,Valtteri Bottas
1064,33,0.321,822,Valtteri Bottas
1064,34,0.0,822,Valtteri Bottas
1064,35,0.0,822,Valtteri Bottas
1064,36,0.207,822,Valtteri Bottas
1064,37,1.665,822,Valtteri Bottas
1064,38,0.095,822,Valtteri Bottas
1064,39,0.278,822,Valtteri Bottas
1064,40,0.072,822,Valtteri Bottas
1064,41,1.668,822,Valtteri Bottas
1064,42,1.173,822,Valtteri Bottas
1064,43,1.152,822,Valtteri Bottas
1064,44,0.968,822,Valtteri Bottas
